Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/09/2021;19:11:50.9884385620;03/09/2015;21:26:08.4447539810;03/09/2015;21:26:08.4447539810;755;0;root;0;root;4096;/bin
02/09/2021;19:11:07.8424519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.5965374800;755;0;root;0;root;110080;/bin/ls
02/09/2021;19:11:08.3584519990;08/28/2013;01:42:42.0000000000;03/05/2015;22:38:02.6885374830;755;0;root;0;root;19248;/bin/run-parts
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6045374800;03/05/2015;22:38:02.6045374800;777;0;root;0;root;4;/bin/lsmod
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.5885374790;03/05/2015;22:38:02.5885374790;777;0;root;0;root;8;/bin/lessfile
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.4805374750;03/05/2015;22:38:02.4805374750;777;0;root;0;root;6;/bin/bzegrep
02/09/2021;19:21:14.9943003670;01/10/2014;05:05:28.0000000000;03/05/2015;22:38:02.7245374840;755;0;root;0;root;2039;/bin/zless
02/09/2021;19:21:14.9983023670;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:02.5565374780;755;0;root;0;root;36144;/bin/findmnt
02/09/2021;19:11:07.7784519990;11/25/2014;15:38:11.0000000000;03/05/2015;22:38:02.5125374760;755;0;root;0;root;434032;/bin/dbus-daemon
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.4805374750;03/05/2015;22:38:02.4805374750;777;0;root;0;root;6;/bin/bzless
02/09/2021;19:21:15.0023043680;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:02.5925374790;755;0;root;0;root;111432;/bin/loadkeys
02/09/2021;19:11:07.9024519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.4805374750;755;0;root;0;root;47904;/bin/cat
02/09/2021;19:11:07.7464519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.5125374760;755;0;root;0;root;60160;/bin/date
02/09/2021;19:21:15.0063063680;12/13/2013;08:24:53.0000000000;03/05/2015;22:38:02.5725374790;755;0;root;0;root;14736;/bin/hostname
02/09/2021;19:21:15.0103083680;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.7005374840;755;0;root;0;root;27200;/bin/sync
02/09/2021;19:21:15.0103083680;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6645374820;755;0;root;0;root;10312;/bin/ntfs-3g.probe
02/09/2021;19:21:15.0103083680;11/25/2014;15:38:11.0000000000;03/05/2015;22:38:02.5125374760;755;0;root;0;root;10536;/bin/dbus-cleanup-sockets
02/09/2021;19:21:15.0103083680;01/07/2015;14:49:02.0000000000;03/05/2015;22:38:02.5125374760;755;0;root;0;root;137272;/bin/cpio
02/09/2021;19:21:15.0143103690;10/21/2013;09:15:20.0000000000;03/05/2015;22:38:02.4765374750;755;0;root;0;root;31152;/bin/bzcat
02/09/2021;19:21:15.0143103690;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6725374820;755;0;root;0;root;39024;/bin/ntfsfix
