Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/09/2021;19:11:50.9924405140;03/05/2015;22:57:24.1122650590;03/05/2015;22:57:24.1122650590;755;0;root;0;root;12288;/sbin
02/09/2021;19:11:10.4864519990;03/05/2015;22:38:24.5898147480;03/05/2015;22:38:24.5898147480;777;0;root;0;root;9;/sbin/lsmod
03/12/2014;21:41:52.0000000000;03/12/2014;21:41:52.0000000000;03/05/2015;22:38:24.5498147460;755;0;root;0;root;333;/sbin/fsck.nfs
02/12/2015;13:53:38.0000000000;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:24.6698147510;755;0;root;0;root;6240;/sbin/pivot_root
02/09/2021;19:11:50.9924405140;02/16/2015;14:25:43.0000000000;03/05/2015;22:54:13.2517362350;777;0;root;0;root;6;/sbin/mkfs.ext4dev
02/12/2015;13:53:38.0000000000;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:24.4618147430;755;0;root;0;root;23016;/sbin/blockdev
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.5058147440;03/05/2015;22:38:24.5058147440;777;0;root;0;root;9;/sbin/depmod
02/09/2021;19:11:08.4704519990;02/10/2015;15:08:18.0000000000;03/05/2015;22:38:24.6978147520;755;0;root;0;root;22992;/sbin/sysctl
02/09/2021;19:11:50.9924405140;03/05/2015;22:57:24.1122650590;03/05/2015;22:57:24.1122650590;777;0;root;0;root;57;/sbin/mount.vboxsf
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.6138147480;03/05/2015;22:38:24.6138147480;777;0;root;0;root;6;/sbin/mkfs.ntfs
02/09/2021;19:11:50.9924405140;02/16/2015;14:25:43.0000000000;03/05/2015;22:54:13.2517362350;777;0;root;0;root;6;/sbin/fsck.ext3
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.5698147470;03/05/2015;22:38:24.5698147470;777;0;root;0;root;13;/sbin/iptables-restore
02/09/2021;19:11:08.5104519990;03/12/2014;21:41:57.0000000000;03/05/2015;22:38:24.6938147520;755;0;root;0;root;35768;/sbin/startpar
12/18/2013;10:36:05.0000000000;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:24.6658147500;755;0;root;0;root;47208;/sbin/ntfsundelete
01/28/2014;13:56:36.0000000000;01/28/2014;13:56:36.0000000000;03/05/2015;22:38:24.7298147530;755;0;root;0;root;1735;/sbin/wpa_action
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.5698147470;03/05/2015;22:38:24.5698147470;777;0;root;0;root;13;/sbin/ip6tables
02/18/2013;08:55:53.0000000000;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:24.5818147470;755;0;root;0;root;10552;/sbin/kbdrate
02/02/2021;19:49:35.9321768900;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:24.5458147460;755;0;root;0;root;99488;/sbin/fdisk
03/05/2015;22:43:58.0418273610;03/14/2014;00:17:05.0000000000;03/05/2015;22:38:24.4778147430;755;0;root;0;root;1416;/sbin/brltty-setup
02/09/2021;19:11:07.7504519990;03/05/2015;22:38:24.6938147520;03/05/2015;22:38:24.6938147520;777;0;root;0;root;7;/sbin/status
03/11/2015;10:08:40.0684794060;07/18/2014;05:46:51.0000000000;03/05/2015;22:38:24.6738147510;755;0;root;0;root;14784;/sbin/reboot
02/09/2021;19:11:09.3024519990;03/12/2014;21:41:57.0000000000;03/05/2015;22:38:24.5818147470;755;0;root;0;root;18992;/sbin/killall5
12/26/2013;23:10:03.0000000000;12/26/2013;23:10:03.0000000000;03/05/2015;22:38:24.5458147460;755;0;root;0;root;60088;/sbin/fixparts
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.5538147460;03/05/2015;22:38:24.5538147460;777;0;root;0;root;8;/sbin/fsck.vfat
