Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/09/2021;19:11:07.6504519990;03/05/2015;23:09:38.9309979470;03/05/2015;23:09:38.9309979470;755;0;root;0;root;36864;/usr/bin
03/27/2014;14:52:03.0000000000;03/27/2014;14:52:03.0000000000;03/05/2015;22:38:25.4138147790;755;0;root;0;root;12755;/usr/bin/corelist
03/05/2015;22:54:08.0000000000;02/25/2015;11:53:39.0000000000;03/05/2015;22:54:09.7135061100;755;0;root;0;root;6475;/usr/bin/mtrace
04/05/2014;07:11:39.0000000000;04/05/2014;07:11:39.0000000000;03/05/2015;22:38:25.9258147980;755;0;root;0;root;318360;/usr/bin/gcov-4.8
04/28/2014;17:02:38.0000000000;04/28/2014;17:02:38.0000000000;03/05/2015;22:38:30.8658149850;755;0;root;0;root;7166;/usr/bin/ubuntu-support-status
03/27/2014;14:52:03.0000000000;03/27/2014;14:52:03.0000000000;03/05/2015;22:38:25.4138147790;755;0;root;0;root;3398;/usr/bin/cpanp
10/01/2012;12:25:41.0000000000;10/01/2012;12:25:41.0000000000;03/05/2015;22:38:28.3978148920;755;0;root;0;root;23040;/usr/bin/mkzftree
01/06/2014;09:01:54.0000000000;01/06/2014;09:01:54.0000000000;03/05/2015;22:38:31.2418149990;755;0;root;0;root;17120;/usr/bin/xclipboard
05/01/2014;17:21:17.0000000000;05/01/2014;17:21:17.0000000000;03/05/2015;22:38:29.8618149470;755;0;root;0;root;345592;/usr/bin/simple-scan
02/19/2014;01:10:55.0000000000;02/19/2014;01:10:55.0000000000;03/05/2015;22:38:29.8778149480;755;0;root;0;root;220;/usr/bin/spd-conf
08/16/2013;03:50:30.0000000000;08/16/2013;03:50:30.0000000000;03/05/2015;22:38:31.2738150000;755;0;root;0;root;28936;/usr/bin/xfd
10/21/2013;10:21:03.0000000000;10/21/2013;10:21:03.0000000000;03/05/2015;22:38:28.4418148930;4755;0;root;0;root;75256;/usr/bin/mtr
02/11/2014;13:45:34.0000000000;02/11/2014;13:45:34.0000000000;03/05/2015;22:38:28.7818149060;755;0;root;0;root;10576;/usr/bin/pkaction
06/25/2014;19:33:25.0000000000;06/25/2014;19:33:25.0000000000;03/05/2015;22:38:28.1578148830;755;0;root;0;root;36040;/usr/bin/intel_sprite_on
10/28/2014;16:56:45.0000000000;10/28/2014;16:56:45.0000000000;03/05/2015;22:38:25.0218147640;755;0;root;0;root;31256;/usr/bin/apt-sortpkgs
06/25/2014;19:33:25.0000000000;06/25/2014;19:33:25.0000000000;03/05/2015;22:38:28.1538148820;755;0;root;0;root;19736;/usr/bin/intel_reg_checker
03/05/2015;22:38:28.1138148810;03/05/2015;22:38:28.1138148810;03/05/2015;22:38:28.1138148810;777;0;root;0;root;23;/usr/bin/hp-probe
03/27/2014;14:52:03.0000000000;03/27/2014;14:52:03.0000000000;03/05/2015;22:38:31.3738150040;755;0;root;0;root;48078;/usr/bin/zipdetails
03/24/2014;10:36:18.0000000000;03/24/2014;10:36:18.0000000000;03/05/2015;22:38:28.7538149050;755;0;root;0;root;14872;/usr/bin/pcimodules
05/07/2014;17:51:46.0000000000;05/07/2014;17:51:46.0000000000;03/05/2015;22:38:30.7018149790;4755;0;root;0;root;23104;/usr/bin/traceroute6.iputils
01/13/2014;02:54:29.0000000000;01/13/2014;02:54:29.0000000000;03/05/2015;22:38:28.3738148910;755;0;root;0;root;587;/usr/bin/md5pass
02/23/2014;09:30:42.0000000000;02/23/2014;09:30:42.0000000000;03/05/2015;22:38:25.6378147870;755;0;root;0;root;2859;/usr/bin/debconf
04/11/2014;10:14:16.0000000000;04/11/2014;10:14:16.0000000000;03/05/2015;22:38:28.9978149140;755;0;root;0;root;231;/usr/bin/pyvenv-3.4
01/06/2014;09:01:54.0000000000;01/06/2014;09:01:54.0000000000;03/05/2015;22:38:29.0418149160;755;0;root;0;root;45520;/usr/bin/rendercheck
03/05/2015;22:38:25.8818147960;03/05/2015;22:38:25.8818147960;03/05/2015;22:38:25.8818147960;777;0;root;0;root;21;/usr/bin/ftp
