Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
03/11/2015;10:13:25.1739944340;03/05/2015;23:03:42.1790081530;03/05/2015;23:03:42.1790081530;755;0;root;0;root;12288;/usr/sbin
03/05/2015;22:42:55.9338250120;01/14/2014;12:28:19.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;780;/usr/sbin/update-dictcommon-hunspell
03/09/2015;21:28:48.2367635620;11/07/2013;09:14:55.0000000000;03/05/2015;22:39:33.4178173510;755;0;root;0;root;35125;/usr/sbin/adduser
10/21/2013;12:15:27.0000000000;10/21/2013;12:15:27.0000000000;03/05/2015;22:39:35.1018174150;755;0;root;0;root;52376;/usr/sbin/usbmuxd
02/04/2014;08:16:02.0000000000;02/04/2014;08:16:02.0000000000;03/05/2015;22:39:33.9858173730;755;0;root;0;root;52136;/usr/sbin/rmt-tar
03/05/2015;22:54:15.0000000000;02/25/2015;15:32:05.0000000000;03/05/2015;22:54:18.1892664130;755;0;root;0;root;10240;/usr/sbin/cupsaddsmb
03/05/2015;22:39:34.6578173980;03/05/2015;22:39:34.6578173980;03/05/2015;22:39:34.6578173980;777;0;root;0;root;24;/usr/sbin/update-default-aspell
03/09/2015;21:28:30.4367624950;02/16/2014;21:42:52.0000000000;03/05/2015;22:39:35.1058174150;755;0;root;0;root;110456;/usr/sbin/useradd
11/25/2014;16:43:06.0000000000;11/25/2014;16:43:06.0000000000;03/05/2015;22:39:33.6698173610;755;0;root;0;root;18768;/usr/sbin/pppdump
03/05/2015;22:54:12.0000000000;02/16/2015;14:25:48.0000000000;03/05/2015;22:54:13.2517362350;755;0;root;0;root;10440;/usr/sbin/mklost+found
03/05/2015;22:42:23.5418237870;02/16/2014;21:42:52.0000000000;03/05/2015;22:39:33.5258173550;755;0;root;0;root;51408;/usr/sbin/grpck
01/12/2014;18:11:33.0000000000;01/12/2014;18:11:33.0000000000;03/05/2015;22:39:34.6458173980;755;0;root;0;root;10400;/usr/sbin/try-from
01/14/2014;12:28:19.0000000000;01/14/2014;12:28:19.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;885;/usr/sbin/update-dictcommon-aspell
03/05/2015;23:03:41.0000000000;10/29/2012;05:54:45.0000000000;03/05/2015;23:03:42.1790081530;755;0;root;0;root;18760;/usr/sbin/pure-authd
03/05/2015;22:54:15.0000000000;02/25/2015;15:32:05.0000000000;03/05/2015;22:54:18.1892664130;755;0;root;0;root;22528;/usr/sbin/lpadmin
12/05/2012;09:11:34.0000000000;12/05/2012;09:11:34.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;9366;/usr/sbin/update-catalog
03/05/2015;22:43:46.7738269350;05/31/2012;23:36:34.0000000000;03/05/2015;22:43:46.7538269340;755;0;root;0;root;9164;/usr/sbin/update-initramfs
03/05/2015;22:54:12.0000000000;02/16/2015;14:25:48.0000000000;03/05/2015;22:54:13.2517362350;755;0;root;0;root;27096;/usr/sbin/e4defrag
12/03/2014;17:35:33.0000000000;12/03/2014;17:35:33.0000000000;03/05/2015;22:39:34.6458173980;755;0;root;0;root;1023160;/usr/sbin/tcpdump
05/15/2014;15:02:12.0000000000;05/15/2014;15:02:12.0000000000;03/05/2015;22:39:33.5938173580;755;0;root;0;root;3560;/usr/sbin/grub-set-default
02/12/2015;13:53:37.0000000000;02/12/2015;13:53:37.0000000000;03/05/2015;22:39:33.6298173590;755;0;root;0;root;14608;/usr/sbin/ldattach
02/09/2021;19:11:09.6624519990;02/06/2015;10:24:39.0000000000;03/05/2015;22:39:33.6618173600;755;0;root;0;root;102736;/usr/sbin/ntpdate
03/05/2015;22:54:39.6025551770;02/25/2015;15:32:05.0000000000;03/05/2015;22:54:18.1892664130;755;0;root;0;root;10240;/usr/sbin/lpinfo
02/16/2014;21:42:54.0000000000;02/16/2014;21:42:54.0000000000;03/05/2015;22:39:33.6538173600;755;0;root;0;root;6264;/usr/sbin/nologin
03/05/2015;22:42:55.2458249860;02/01/2014;15:11:30.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;1182;/usr/sbin/update-cracklib
05/09/2014;06:48:12.0000000000;05/09/2014;06:48:12.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;596;/usr/sbin/update-icon-caches.gtk2
03/05/2015;22:42:56.8058250450;01/14/2014;12:28:19.0000000000;03/05/2015;22:39:34.6578173980;755;0;root;0;root;7152;/usr/sbin/update-default-wordlist
02/16/2014;21:42:52.0000000000;02/16/2014;21:42:52.0000000000;03/05/2015;22:39:33.4738173530;755;0;root;0;root;49424;/usr/sbin/cppw
02/09/2021;19:11:07.9104519990;01/15/2015;16:05:44.0000000000;03/05/2015;22:39:34.0018173730;755;0;root;0;root;521824;/usr/sbin/rsyslogd
11/14/2014;16:03:13.0000000000;11/14/2014;16:03:13.0000000000;03/05/2015;22:39:33.4138173510;755;0;root;0;root;2656;/usr/sbin/aa-exec
