mysql> tee logins.txt
mysql> select * from logins order by start;
+----------+----------------+---------------------+---------------------+--------------+--------------+-------+
| who_what | terminal_event | start               | stop                | elapsed      | ip           | recno |
+----------+----------------+---------------------+---------------------+--------------+--------------+-------+
| runlevel | (to lvl 2)     | 2015-03-05 20:52:03 | 2015-03-05 20:57:44 |  (00:05)     | 0.0.0.0      |   124 |
| reboot   | system boot    | 2015-03-05 20:52:03 | 2015-03-05 20:57:44 |  (00:05)     | 0.0.0.0      |   125 |
| john     | :0             | 2015-03-05 20:52:31 | NULL                |  (00:05)     | 0.0.0.0      |   123 |
| john     | pts/4          | 2015-03-05 20:53:28 | NULL                |  (00:04)     | 0.0.0.0      |   122 |
| john     | pts/11         | 2015-03-05 20:56:00 | 2015-03-05 20:57:28 |  (00:01)     | 0.0.0.0      |   121 |
| runlevel | (to lvl 6)     | 2015-03-05 20:57:44 | 2015-03-05 20:57:48 |  (00:00)     | 0.0.0.0      |   120 |
| shutdown | system down    | 2015-03-05 20:57:48 | 2015-03-05 20:58:08 |  (00:00)     | 0.0.0.0      |   119 |
| runlevel | (to lvl 2)     | 2015-03-05 20:58:08 | 2015-03-05 21:12:19 |  (00:14)     | 0.0.0.0      |   117 |
| reboot   | system boot    | 2015-03-05 20:58:08 | 2015-03-05 21:12:19 |  (00:14)     | 0.0.0.0      |   118 |
| john     | :0             | 2015-03-05 20:58:25 | NULL                |  (00:13)     | 0.0.0.0      |   116 |
| john     | pts/0          | 2015-03-05 21:00:36 | NULL                |  (00:11)     | 0.0.0.0      |   115 |
| runlevel | (to lvl 0)     | 2015-03-05 21:12:19 | 2015-03-05 21:12:23 |  (00:00)     | 0.0.0.0      |   114 |
| shutdown | system down    | 2015-03-05 21:12:23 | 2015-03-06 06:49:13 |  (09:36)     | 0.0.0.0      |   113 |
| runlevel | (to lvl 2)     | 2015-03-06 06:49:13 | 2015-03-06 07:25:52 |  (00:36)     | 0.0.0.0      |   111 |
| reboot   | system boot    | 2015-03-06 06:49:13 | 2015-03-06 07:25:52 |  (00:36)     | 0.0.0.0      |   112 |
| john     | :0             | 2015-03-06 06:50:03 | NULL                |  (00:35)     | 0.0.0.0      |   110 |
| john     | pts/12         | 2015-03-06 06:50:35 | NULL                |  (00:35)     | 0.0.0.0      |   109 |
| runlevel | (to lvl 0)     | 2015-03-06 07:25:52 | 2015-03-06 07:25:54 |  (00:00)     | 0.0.0.0      |   108 |
| shutdown | system down    | 2015-03-06 07:25:54 | 2015-03-06 18:19:39 |  (10:53)     | 0.0.0.0      |   107 |
| runlevel | (to lvl 2)     | 2015-03-06 18:19:39 | 2015-03-06 18:30:35 |  (00:10)     | 0.0.0.0      |   105 |
| reboot   | system boot    | 2015-03-06 18:19:39 | 2015-03-06 18:30:35 |  (00:10)     | 0.0.0.0      |   106 |
| john     | :0             | 2015-03-06 18:23:06 | NULL                |  (00:07)     | 0.0.0.0      |   104 |
| john     | pts/12         | 2015-03-06 18:23:44 | NULL                |  (00:06)     | 0.0.0.0      |   103 |
| runlevel | (to lvl 0)     | 2015-03-06 18:30:35 | 2015-03-06 18:30:38 |  (00:00)     | 0.0.0.0      |   102 |
| shutdown | system down    | 2015-03-06 18:30:38 | 2015-03-06 18:31:30 |  (00:00)     | 0.0.0.0      |   101 |
| runlevel | (to lvl 2)     | 2015-03-06 18:31:30 | 2015-03-06 18:47:13 |  (00:15)     | 0.0.0.0      |    99 |
| reboot   | system boot    | 2015-03-06 18:31:30 | 2015-03-06 18:47:13 |  (00:15)     | 0.0.0.0      |   100 |
| john     | :0             | 2015-03-06 18:34:33 | NULL                |  (00:12)     | 0.0.0.0      |    98 |
| john     | pts/9          | 2015-03-06 18:35:29 | 2015-03-06 18:47:07 |  (00:11)     | 0.0.0.0      |    97 |
| runlevel | (to lvl 0)     | 2015-03-06 18:47:13 | 2015-03-06 18:47:16 |  (00:00)     | 0.0.0.0      |    96 |
| shutdown | system down    | 2015-03-06 18:47:16 | 2015-03-06 19:23:13 |  (00:35)     | 0.0.0.0      |    95 |
| runlevel | (to lvl 2)     | 2015-03-06 19:23:13 | 2015-03-06 19:32:49 |  (00:09)     | 0.0.0.0      |    93 |
| reboot   | system boot    | 2015-03-06 19:23:13 | 2015-03-06 19:32:49 |  (00:09)     | 0.0.0.0      |    94 |
| john     | :0             | 2015-03-06 19:23:58 | NULL                |  (00:08)     | 0.0.0.0      |    92 |
| john     | pts/0          | 2015-03-06 19:25:04 | 2015-03-06 19:32:41 |  (00:07)     | 0.0.0.0      |    91 |
| runlevel | (to lvl 0)     | 2015-03-06 19:32:49 | 2015-03-06 19:33:02 |  (00:00)     | 0.0.0.0      |    90 |
| shutdown | system down    | 2015-03-06 19:33:02 | 2015-03-08 18:27:24 | (1+21:54)    | 0.0.0.0      |    89 |
| runlevel | (to lvl 2)     | 2015-03-08 18:27:24 | 2015-03-08 18:51:46 |  (00:24)     | 0.0.0.0      |    87 |
| reboot   | system boot    | 2015-03-08 18:27:24 | 2015-03-08 18:51:46 |  (00:24)     | 0.0.0.0      |    88 |
| john     | :0             | 2015-03-08 18:27:43 | NULL                |  (00:24)     | 0.0.0.0      |    86 |
| john     | pts/13         | 2015-03-08 18:28:15 | 2015-03-08 18:40:06 |  (00:11)     | 0.0.0.0      |    85 |
| john     | pts/0          | 2015-03-08 18:42:33 | 2015-03-08 18:51:38 |  (00:09)     | 0.0.0.0      |    84 |
| runlevel | (to lvl 0)     | 2015-03-08 18:51:46 | 2015-03-08 18:51:50 |  (00:00)     | 0.0.0.0      |    83 |
| shutdown | system down    | 2015-03-08 18:51:50 | 2015-03-09 18:58:55 | (1+00:07)    | 0.0.0.0      |    82 |
| runlevel | (to lvl 2)     | 2015-03-09 18:58:55 | 2015-03-09 19:48:01 |  (00:49)     | 0.0.0.0      |    80 |
| reboot   | system boot    | 2015-03-09 18:58:55 | 2015-03-11 08:08:40 | (1+13:09)    | 0.0.0.0      |    81 |
| john     | :0             | 2015-03-09 18:59:56 | 2015-03-09 19:44:43 |  (00:44)     | 0.0.0.0      |    79 |
| john     | pts/0          | 2015-03-09 19:03:15 | 2015-03-09 19:08:11 |  (00:04)     | 0.0.0.0      |    78 |
| john     | pts/0          | 2015-03-09 19:10:45 | 2015-03-09 19:44:43 |  (00:33)     | 0.0.0.0      |    77 |
| john     | pts/23         | 2015-03-09 19:24:49 | 2015-03-09 19:44:23 |  (00:19)     | 192.168.56.1 |    76 |
| johnn    | pts/25         | 2015-03-09 19:29:39 | 2015-03-09 19:33:05 |  (00:03)     | 192.168.56.1 |    75 |
| lightdm  | pts/25         | 2015-03-09 19:33:16 | 2015-03-09 19:33:16 |  (00:00)     | 192.168.56.1 |    74 |
| lightdm  | pts/25         | 2015-03-09 19:34:01 | 2015-03-09 19:34:36 |  (00:00)     | 192.168.56.1 |    73 |
| johnn    | pts/25         | 2015-03-09 19:34:45 | 2015-03-09 19:38:50 |  (00:04)     | 192.168.56.1 |    72 |
| runlevel | (to lvl 2)     | 2015-03-09 19:48:01 | 2015-03-11 07:55:20 | (1+12:07)    | 0.0.0.0      |    70 |
| reboot   | system boot    | 2015-03-09 19:48:01 | 2015-03-11 08:08:40 | (1+12:20)    | 0.0.0.0      |    71 |
| john     | :0             | 2015-03-09 19:48:38 | NULL                | (1+12:06)    | 0.0.0.0      |    69 |
| john     | pts/12         | 2015-03-09 19:49:10 | NULL                | (1+12:06)    | 0.0.0.0      |    68 |
| runlevel | (to lvl 2)     | 2015-03-11 07:55:20 | 2015-03-11 08:08:40 |  (00:13)     | 0.0.0.0      |    66 |
| reboot   | system boot    | 2015-03-11 07:55:20 | 2015-03-11 08:08:40 |  (00:13)     | 0.0.0.0      |    67 |
| john     | :0             | 2015-03-11 07:55:46 | NULL                |  (00:12)     | 0.0.0.0      |    65 |
| john     | pts/11         | 2015-03-11 07:56:18 | 2015-03-11 08:08:19 |  (00:12)     | 0.0.0.0      |    64 |
| runlevel | (to lvl 0)     | 2015-03-11 08:08:40 | 2015-03-11 08:08:43 |  (00:00)     | 0.0.0.0      |    63 |
| shutdown | system down    | 2015-03-11 08:08:43 | 2015-03-11 08:09:33 |  (00:00)     | 0.0.0.0      |    62 |
| runlevel | (to lvl 2)     | 2015-03-11 08:09:33 | 2015-03-12 11:35:46 | (1+03:26)    | 0.0.0.0      |    60 |
| reboot   | system boot    | 2015-03-11 08:09:33 | 2021-02-18 11:04:27 | (2171+03:54) | 0.0.0.0      |    61 |
| john     | :0             | 2015-03-11 08:09:48 | NULL                | (1+03:25)    | 0.0.0.0      |    59 |
| john     | pts/9          | 2015-03-11 08:10:27 | 2015-03-11 08:18:23 |  (00:07)     | 0.0.0.0      |    58 |
| runlevel | (to lvl 2)     | 2015-03-12 11:35:46 | 2021-01-28 19:40:49 | (2149+09:05) | 0.0.0.0      |    56 |
| reboot   | system boot    | 2015-03-12 11:35:46 | 2021-02-18 11:04:27 | (2170+00:28) | 0.0.0.0      |    57 |
| john     | :0             | 2015-03-12 11:36:06 | NULL                | (2149+09:04) | 0.0.0.0      |    55 |
| john     | pts/12         | 2015-03-12 11:36:39 | NULL                | (2149+09:04) | 0.0.0.0      |    54 |
| runlevel | (to lvl 2)     | 2021-01-28 19:40:49 | 2021-01-28 19:42:57 |  (00:02)     | 0.0.0.0      |    52 |
| reboot   | system boot    | 2021-01-28 19:40:49 | 2021-02-18 11:04:27 | (20+15:23)   | 0.0.0.0      |    53 |
| john     | :0             | 2021-01-28 19:40:58 | NULL                |  (00:01)     | 0.0.0.0      |    51 |
| runlevel | (to lvl 2)     | 2021-01-28 19:42:57 | 2021-01-28 19:44:55 |  (00:01)     | 0.0.0.0      |    49 |
| reboot   | system boot    | 2021-01-28 19:42:57 | 2021-02-18 11:04:27 | (20+15:21)   | 0.0.0.0      |    50 |
| john     | :0             | 2021-01-28 19:43:03 | NULL                |  (00:01)     | 0.0.0.0      |    48 |
| runlevel | (to lvl 2)     | 2021-01-28 19:44:55 | 2021-02-02 17:40:15 | (4+21:55)    | 0.0.0.0      |    46 |
| reboot   | system boot    | 2021-01-28 19:44:55 | 2021-02-18 11:04:27 | (20+15:19)   | 0.0.0.0      |    47 |
| john     | :0             | 2021-01-28 19:45:02 | NULL                | (4+21:55)    | 0.0.0.0      |    45 |
| john     | pts/2          | 2021-01-28 19:45:16 | NULL                | (4+21:54)    | 0.0.0.0      |    44 |
| runlevel | (to lvl 2)     | 2021-02-02 17:40:15 | 2021-02-09 17:11:09 | (6+23:30)    | 0.0.0.0      |    42 |
| reboot   | system boot    | 2021-02-02 17:40:15 | 2021-02-18 11:04:27 | (15+17:24)   | 0.0.0.0      |    43 |
| john     | :0             | 2021-02-02 17:40:21 | NULL                | (6+23:30)    | 0.0.0.0      |    41 |
| john     | pts/0          | 2021-02-02 17:46:52 | 2021-02-02 17:49:13 |  (00:02)     | 0.0.0.0      |    40 |
| john     | pts/6          | 2021-02-02 17:48:58 | 2021-02-02 17:49:12 |  (00:00)     | 0.0.0.0      |    39 |
| john     | pts/0          | 2021-02-02 17:49:25 | NULL                | (6+23:21)    | 0.0.0.0      |    38 |
| runlevel | (to lvl 2)     | 2021-02-09 17:11:09 | 2021-02-14 14:22:38 | (4+21:11)    | 0.0.0.0      |    36 |
| reboot   | system boot    | 2021-02-09 17:11:09 | 2021-02-18 11:04:27 | (8+17:53)    | 0.0.0.0      |    37 |
| john     | :0             | 2021-02-09 17:11:16 | NULL                | (4+21:11)    | 0.0.0.0      |    35 |
| john     | pts/6          | 2021-02-09 17:11:34 | NULL                | (4+21:11)    | 0.0.0.0      |    34 |
| john     | pts/0          | 2021-02-09 17:12:52 | NULL                | (4+21:09)    | 0.0.0.0      |    33 |
| runlevel | (to lvl 2)     | 2021-02-14 14:22:38 | 2021-02-14 14:36:11 |  (00:13)     | 0.0.0.0      |    31 |
| reboot   | system boot    | 2021-02-14 14:22:38 | 2021-02-18 11:04:27 | (3+20:41)    | 0.0.0.0      |    32 |
| john     | :0             | 2021-02-14 14:22:45 | NULL                |  (00:13)     | 0.0.0.0      |    30 |
