mysql> select * from histories order by recno;
+---------------------------+--------------------------------------------------------------------------------------------------------------------------------------------+-------+
| historyFilename           | historyCommand                                                                                                                             | recno |
+---------------------------+--------------------------------------------------------------------------------------------------------------------------------------------+-------+
| home/john/.bash_history   | sudo apt-get update && sudo apt-get -y upgrade                                                                                             |     1 |
| home/john/.bash_history   | sudo apt-get install netcat                                                                                                                |     2 |
| home/john/.bash_history   | sudo apt-get install nmap                                                                                                                  |     3 |
| home/john/.bash_history   | service pure-ftpd start                                                                                                                    |     4 |
| home/john/.bash_history   | update-rc.d pure-ftpd defaults                                                                                                             |     5 |
| home/john/.bash_history   | nmap localhost                                                                                                                             |     6 |
| home/john/.bash_history   | update-rc.d ssh defaults                                                                                                                   |     7 |
| home/john/.bash_history   | apt-cache search chrome                                                                                                                    |     8 |
| home/john/.bash_history   | apt-get install chromium-browser                                                                                                           |     9 |
| home/john/.bash_history   | ls                                                                                                                                         |    10 |
| home/john/.bash_history   | cd xingyiquan/                                                                                                                             |    11 |
| home/john/.bash_history   | ls                                                                                                                                         |    12 |
| home/john/.bash_history   | cd                                                                                                                                         |    13 |
| home/john/.bash_history   | ls                                                                                                                                         |    14 |
| home/john/.bash_history   | pwd                                                                                                                                        |    15 |
| home/john/.bash_history   | cd Downloads/                                                                                                                              |    16 |
| home/john/.bash_history   | ls                                                                                                                                         |    17 |
| home/john/.bash_history   | tar xzvf xingyiquan.tar.gz                                                                                                                 |    18 |
| home/john/.bash_history   | ls                                                                                                                                         |    19 |
| home/john/.bash_history   | apt-cache search ssh                                                                                                                       |    20 |
| home/john/.bash_history   | apt-cache search openssh                                                                                                                   |    21 |
| home/john/.bash_history   | sudo apt-get install openssh-server                                                                                                        |    22 |
| home/john/.bash_history   | apt-cache search ftp-server                                                                                                                |    23 |
| home/john/.bash_history   | sudo apt-get install pure-ftpd                                                                                                             |    24 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |    25 |
| home/john/.bash_history   | mkdir /mnt/x64                                                                                                                             |    26 |
| home/john/.bash_history   | mount /dev/sdb2 /mnt/x64                                                                                                                   |    27 |
| home/john/.bash_history   | cd /mnt/x64                                                                                                                                |    28 |
| home/john/.bash_history   | ls                                                                                                                                         |    29 |
| home/john/.bash_history   | cd x64                                                                                                                                     |    30 |
| home/john/.bash_history   | ls                                                                                                                                         |    31 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    32 |
| home/john/.bash_history   | export PATH=/mnt/x64/x64/sbin;/mnt/x64/x64/bin                                                                                             |    33 |
| home/john/.bash_history   | echo $PATH                                                                                                                                 |    34 |
| home/john/.bash_history   | export PATH=/mnt/x64/x64/sbin:/mnt/x64/x64/bin                                                                                             |    35 |
| home/john/.bash_history   | echo $PATH                                                                                                                                 |    36 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    37 |
| home/john/.bash_history   | mount                                                                                                                                      |    38 |
| home/john/.bash_history   | cd mnt/x64/x64/                                                                                                                            |    39 |
| home/john/.bash_history   | l                                                                                                                                          |    40 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    41 |
| home/john/.bash_history   | export PATH=/mnt/x64/x64/bin:/mnt/x64/x64/sbin                                                                                             |    42 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=/mnt/x64/x64/lib:/mnt/x64/x64/lib64                                                                                 |    43 |
| home/john/.bash_history   | ls                                                                                                                                         |    44 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |    45 |
| home/john/.bash_history   | ls /dev/sd*                                                                                                                                |    46 |
| home/john/.bash_history   | cd /media/john                                                                                                                             |    47 |
| home/john/.bash_history   | ls                                                                                                                                         |    48 |
| home/john/.bash_history   | ls /dev/sd*                                                                                                                                |    49 |
| home/john/.bash_history   | cd /                                                                                                                                       |    50 |
| home/john/.bash_history   | mount                                                                                                                                      |    51 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |    52 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |    53 |
| home/john/.bash_history   | ls                                                                                                                                         |    54 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    55 |
| home/john/.bash_history   | export PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/bin:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/sbin             |    56 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib64:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib |    57 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |    58 |
| home/john/.bash_history   | mount                                                                                                                                      |    59 |
| home/john/.bash_history   | sudo -s                                                                                                                                    |    60 |
| home/john/.bash_history   | mount                                                                                                                                      |    61 |
| home/john/.bash_history   | cd /media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/                                                                                   |    62 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    63 |
| home/john/.bash_history   | export PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/bin:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/sbin             |    64 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib64:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib |    65 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |    66 |
| home/john/.bash_history   | date | nc 192.168.56.1 9999                                                                                                                |    67 |
| home/john/.bash_history   | uname -a | nc 192.168.56.1 9999                                                                                                            |    68 |
| home/john/.bash_history   | cd                                                                                                                                         |    69 |
| home/john/.bash_history   | cd /bin                                                                                                                                    |    70 |
| home/john/.bash_history   | nc 192.168.56.1 4444 < /bin/bash                                                                                                           |    71 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    72 |
| home/john/.bash_history   | cd x64                                                                                                                                     |    73 |
| home/john/.bash_history   | exec bin/bash                                                                                                                              |    74 |
| home/john/.bash_history   | export PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/bin:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/sbin             |    75 |
| home/john/.bash_history   | export LD_LIBRARY_PATH=/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib64:/media/john/37fd0119-0386-4b6e-896b-d463f702f660/x64/lib |    76 |
| home/john/.bash_history   | ifconfig                                                                                                                                   |    77 |
| home/john/.bash_history   | cd/                                                                                                                                        |    78 |
| home/john/.bash_history   | cd                                                                                                                                         |    79 |
