Table Name Index System Call              Handler Address    Symbol                                                      
---------- ----- ------------------------ ------------------ ------------------------------------------------------------
64bit          0                          0xffffffff811d4680 SyS_read                                                    
64bit          1                          0xffffffff811d4730 sys_write                                                   
64bit          2                          0xffffffffc0363ad0 HOOKED: xingyiquan/cr_open                                  
64bit          3                          0xffffffff811d1340 SyS_close                                                   
64bit          4                          0xffffffff811d8ef0 sys_newstat                                                 
64bit          5                          0xffffffff811d8f20 SyS_newfstat                                                
64bit          6                          0xffffffffc03637a0 HOOKED: xingyiquan/cr_lstat                                 
64bit          7                          0xffffffff811e8c00 SyS_poll                                                    
64bit          8                          0xffffffff811d3680 sys_lseek                                                   
64bit          9                          0xffffffff81018830 SyS_mmap                                                    
64bit         10                          0xffffffff81196900 sys_mprotect                                                
64bit         11                          0xffffffff811954a0 sys_munmap                                                  
64bit         12                          0xffffffff81194970 SyS_brk                                                     
64bit         13                          0xffffffff81081fe0 SyS_rt_sigaction                                            
64bit         14                          0xffffffff81080d80 sys_rt_sigprocmask                                          
64bit         15                          0xffffffff8176b2d0 stub_rt_sigreturn                                           
64bit         16                          0xffffffff811e6bb0 SyS_ioctl                                                   
64bit         17                          0xffffffff811d47e0 SyS_pread64                                                 
64bit         18                          0xffffffff811d4890 sys_pwrite64                                                
64bit         19                          0xffffffff811d4d30 sys_readv                                                   
64bit         20                          0xffffffff811d4e00 sys_writev                                                  
64bit         21                          0xffffffff811d2010 SyS_access                                                  
64bit         22                          0xffffffff811dccc0 sys_pipe                                                    
64bit         23                          0xffffffff811e8330 sys_select                                                  
64bit         24                          0xffffffff810a09c0 sys_sched_yield                                             
64bit         25                          0xffffffff81197680 sys_mremap                                                  
64bit         26                          0xffffffff81197b90 sys_msync                                                   
64bit         27                          0xffffffff811900a0 sys_mincore                                                 
64bit         28                          0xffffffff81189510 SyS_madvise                                                 
64bit         29                          0xffffffff812d9980 sys_shmget                                                  
64bit         30                          0xffffffff812da160 sys_shmat                                                   
