Pid    Uid    Gid    Arguments                                                       
1      0      0      /sbin/init splash                                               
2      0      0      [kthreadd]                                                      
3      0      0      [ksoftirqd/0]                                                   
5      0      0      [kworker/0:0H]                                                  
7      0      0      [rcu_sched]                                                     
8      0      0      [rcuos/0]                                                       
9      0      0      [rcu_bh]                                                        
10     0      0      [rcuob/0]                                                       
11     0      0      [migration/0]                                                   
12     0      0      [watchdog/0]                                                    
13     0      0      [khelper]                                                       
14     0      0      [kdevtmpfs]                                                     
15     0      0      [netns]                                                         
16     0      0      [khungtaskd]                                                    
17     0      0      [writeback]                                                     
18     0      0      [ksmd]                                                          
19     0      0      [khugepaged]                                                    
20     0      0      [crypto]                                                        
21     0      0      [kintegrityd]                                                   
22     0      0      [bioset]                                                        
23     0      0      [kblockd]                                                       
24     0      0      [ata_sff]                                                       
25     0      0      [khubd]                                                         
26     0      0      [md]                                                            
27     0      0      [devfreq_wq]                                                    
28     0      0      [kworker/u2:1]                                                  
29     0      0      [kworker/0:1]                                                   
30     0      0      [kswapd0]                                                       
31     0      0      [fsnotify_mark]                                                 
32     0      0      [ecryptfs-kthrea]                                               
44     0      0      [kthrotld]                                                      
45     0      0      [acpi_thermal_pm]                                               
46     0      0      [scsi_eh_0]                                                     
47     0      0      [scsi_tmf_0]                                                    
48     0      0      [scsi_eh_1]                                                     
49     0      0      [scsi_tmf_1]                                                    
51     0      0      [ipv6_addrconf]                                                 
71     0      0      [deferwq]                                                       
72     0      0      [charger_manager]                                               
118    0      0      [kpsmoused]                                                     
120    0      0      [scsi_eh_2]                                                     
121    0      0      [scsi_tmf_2]                                                    
130    0      0      [jbd2/sda1-8]                                                   
131    0      0      [ext4-rsv-conver]                                               
255    0      0      upstart-udev-bridge --daemon                                    
261    0      0      /lib/systemd/systemd-udevd --daemon                             
301    0      0      [kworker/0:1H]                                                  
340    0      0      [iprt]                                                          
421    0      0      upstart-file-bridge --daemon                                    
449    101    104    rsyslogd                                                        
462    0      0      upstart-socket-bridge --daemon                                  
618    102    106    dbus-daemon --system --fork                                     
638    0      0      /usr/sbin/ModemManager                                          
656    0      0      /usr/sbin/bluetoothd                                            
662    0      0      /lib/systemd/systemd-logind                                     
669    111    117    avahi-daemon: ru                                                
676    111    117    avahi-daemon: ch                                                
764    0      0      [krfcommd]                                                      
780    0      0      NetworkManager                                                  
788    0      0      /usr/lib/policykit-1/polkitd --no-debug                         
795    0      0      /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-49bcf7f2-7514-47e8-9238-03e63fc61822-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
796    0      0      /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth1.pid -lf /var/lib/NetworkManager/dhclient-5b974ae6-3308-4dfd-9590-e1345ed33888-eth1.lease -cf /var/lib/NetworkManager/dhclient-eth1.conf eth1
843    0      0      /sbin/getty -8 38400 tty4                                       
847    0      0      /sbin/getty -8 38400 tty5                                       
854    0      0      /sbin/getty -8 38400 tty2                                       
